from_user,text,time,likes,hashtag
wallpapercse,@jennierubyjane,2019-12-26T16:19:04.000Z,,
fortnitemarketimtr,Low like wtf,2019-12-14T21:11:26.000Z,,
zohre_poorasad,چرا ما نمیتوانیم هدیه بگیریم,2019-12-14T21:25:51.000Z,1 like,
clarkmank,"Can someone add me, I am your candy candy",2019-12-14T23:33:03.000Z,,
joycemclevette,Love candy crush but you make it to hard to play after we are all addicted to your game 🦋🥀🤗🌺❤️🙏🌹♥️♥️,2019-12-15T20:15:58.000Z,,
sona1___,,2019-12-16T19:55:40.000Z,,
leungszeki.leung,Level 570,2019-12-17T00:01:24.000Z,,
zeusfanzpage,😍❤🔥,2019-12-17T20:20:26.000Z,,
almir_victor65,Legal!,2019-12-18T20:13:20.000Z,,
a.lesha_,Please help. According to my level chart I’m on level 6005 and my games board hasn’t updated yet it’s been about a month now and I really want to play 🥴,2019-12-19T04:05:26.000Z,,
emilygravitas,Do y’all respond to DMs? :/,2019-12-19T07:44:28.000Z,,
miran_adnan,I have complete my 5700 levels😅😅😅 it was so difficult ibam playing since 3years this game till now i didn't got boor😍😍😍😍😍😍,2019-12-20T05:11:31.000Z,1 like,
lochelo,Yeti at Chirstmas 💞,2019-12-27T18:32:02.000Z,,
merystemy.zlociste,"I'm so in love with this idea, I'm definitely going to do it this year!!!🙌💕",2019-12-13T20:15:34.000Z,3 likes,
jarka_trginova,Im at 5918 👊,2019-12-13T20:16:21.000Z,1 like,
jacqueline.meunier,C’est super !!!👍🏻👏🏻👏🏻👏🏻👏🏻😘😍,2019-12-13T21:24:08.000Z,1 like,
ruedalavida.22,😍😍😍😍,2019-12-14T03:10:36.000Z,,
nentisoel,I didn't finish level 707 in the candy crush game. Try it for me🥺🥺,2019-12-14T12:33:41.000Z,1 like,
sezatabri,5205 very boring fed up,2019-12-14T20:08:51.000Z,,
anfrank344,Can we be friends jamekalorene,2019-12-15T12:32:43.000Z,,
thieusivinh.ts,5960,2019-12-15T14:01:09.000Z,1 like,
zeusfanzpage,🔥🔥🔥,2019-12-17T20:20:48.000Z,,
mahawi12345maha,Iam at level 4330😍,2019-12-17T21:59:01.000Z,,
almir_victor65,Amei essa decoração de natal. 😍❤️🎄,2019-12-18T20:15:15.000Z,,
monalisha_baral,My favourite background music😍😍😍 & im now 1998 levl,2019-12-19T16:25:57.000Z,,
gothix_queen,I just watched jumanji on Netflix lol,2019-12-13T05:14:03.000Z,1 like,
lelica38,igrica je extra - Srbija -NIS,2019-12-13T11:29:39.000Z,,
lelica38,😍,2019-12-13T11:29:56.000Z,,
birthexile,Sweet Candy,2019-12-13T13:00:18.000Z,,
detailed.ix,No,2019-12-13T14:03:50.000Z,,
detailed.ix,No,2019-12-13T14:03:51.000Z,,
weebizkit,@xx.becky.bats.xx,2019-12-13T14:55:39.000Z,1 like,
maretva,@ottoleon tengo que probarlo!!!,2019-12-13T15:01:20.000Z,,
rmg_jessejames,🤔,2019-12-13T18:46:59.000Z,,
niketo2020,That's not the Rocks hands in the phone shot,2019-12-13T18:50:47.000Z,,
pritimarai,4th level is tough,2019-12-14T05:10:17.000Z,1 like,
zeusfanzpage,🔥🔥🔥,2019-12-17T20:21:15.000Z,,
expert_cryptotrader,"Trading Binary/Forex/Bitcoin is the best way of making money from home,office,work, here is opportunity and chance to do something for yourself,and invest with a low minimum, no experience is needed with our unique strategy. We guarantee you 97% trade accuracy, if you are interested .Invest with us and make good profit.A minimum invested amount of
$200 gives $2,250 weekly
$300 gives $3,500 weekly
$400 gives $4,750 weekly
$500 gives $6,000 weekly
$600 gives $7,250 weekly
$700 gives $8,500 weekly
$800 gives $9,750 weekly
Or more with high benefits.
All in weekly profits payout is assured, and full access login to monitor your trade records. inbox me for more info
#United Arab Emirates#india#pakistan #south Africa#london#indonesia#swede
#CANADA#france#bitcoin#binary #Morocco#forex#Saudi Arabia#Germany
#Netherland#dubia#kuwait#ukra#peru
#spain#real Madrid#royal#royalties
#royalfamily#Westminster#Tudor#history
#British#queenelizabeth#monarch #monarchy#crown#kingdom#windsor
#queenvictoria#princeharry#princewilliam
#kateminddleton#constitution#riverthames
#windsorcastle#New castle #buckinghampalace#mangers#Texas#new York city#california#las Vegas#vegas",2019-12-08T16:10:52.000Z,,#United #india #pakistan #south #london #indonesia #swede #CANADA #france #bitcoin #binary #Morocco #forex #Saudi #Germany #Netherland #dubia #kuwait #ukra #peru #spain #real #royal #royalties #royalfamily #Westminster #Tudor #history #British #queenelizabeth #monarch #monarchy #crown #kingdom #windsor #queenvictoria #princeharry #princewilliam #kateminddleton #constitution #riverthames #windsorcastle #New #buckinghampalace #mangers #Texas #new #california #las #vegas 
laetphilou,😮,2019-12-08T18:06:16.000Z,,
_girl.making.man.decisions_,,2019-12-08T20:50:07.000Z,1 like,
adnangemici52,,2019-12-08T21:24:53.000Z,1 like,
thieusivinh.ts,5915,2019-12-09T00:00:07.000Z,,
jovelina73,Eu gueria natal papai noel,2019-12-09T01:03:58.000Z,,
adriannarusso,5915,2019-12-09T01:23:54.000Z,1 like,
levent_cagin,R u people even reading this there is a problem with the game we cannot play anymore,2019-12-09T08:21:20.000Z,,
miriamhuber1818,,2019-12-09T08:23:12.000Z,,
maricelabalam29,,2019-12-11T02:43:41.000Z,,
_valgallardox,Hello sorry for the inconvenience but why at level 990 some players get 50 moves and my 19?,2019-12-11T22:36:10.000Z,,
lochelo,El Yeti en Nueva York que bien en el hielo. 😥😥😥,2019-12-27T18:34:38.000Z,,
taufiquemohd29,Congratulations 🎉🎉congratulations🎉🎊 for 6000😵🔥🔥🎉🔥🎉🔥 🍬crush 🍬🍭🔨💥,2019-12-07T14:28:31.000Z,1 like,
lizcario.official,"So amazing, cold weather means candy crush!",2019-12-07T15:33:49.000Z,2 likes,
valerita3213,😍,2019-12-07T16:11:33.000Z,1 like,
sh0rts1,3165,2019-12-07T16:28:49.000Z,,
sirvanmirshahabi,5985,2019-12-07T16:36:30.000Z,1 like,
leyva.dania,👏👏🤩🎁🎁🤶🎅Candy crush this,2019-12-07T17:15:16.000Z,1 like,
alwantirtasyahrial,🌹❤️🌹,2019-12-07T18:13:12.000Z,,
chichisdiary_,Please why did my game start from level 1 when I was in 478 already?😭😭 I will not and never start from level 1. I will rather delete it. What rubbish,2019-12-07T18:19:17.000Z,,
valcu.vio,🙋4120,2019-12-07T18:59:32.000Z,,
musa3m,Will be the GOAT 🐐in a @candycrushsaga,2019-12-08T05:15:28.000Z,1 like,
uniamelia_78,Please repost the Blackpink giveaway!! 😞,2019-12-08T13:48:18.000Z,,
expert_cryptotrader,"Trading Binary/Forex/Bitcoin is the best way of making money from home,office,work, here is opportunity and chance to do something for yourself,and invest with a low minimum, no experience is needed with our unique strategy. We guarantee you 97% trade accuracy, if you are interested .Invest with us and make good profit.A minimum invested amount of
$200 gives $2,250 weekly
$300 gives $3,500 weekly
$400 gives $4,750 weekly
$500 gives $6,000 weekly
$600 gives $7,250 weekly
$700 gives $8,500 weekly
$800 gives $9,750 weekly
Or more with high benefits.
All in weekly profits payout is assured, and full access login to monitor your trade records. inbox me for more info
#United Arab Emirates#india#pakistan #south Africa#london#indonesia#swede
#CANADA#france#bitcoin#binary #Morocco#forex#Saudi Arabia#Germany
#Netherland#dubia#kuwait#ukra#peru
#spain#real Madrid#royal#royalties
#royalfamily#Westminster#Tudor#history
#British#queenelizabeth#monarch #monarchy#crown#kingdom#windsor
#queenvictoria#princeharry#princewilliam
#kateminddleton#constitution#riverthames
#windsorcastle#New castle #buckinghampalace#mangers#Texas#new York city#california#las Vegas#vegas",2019-12-08T16:22:01.000Z,,#United #india #pakistan #south #london #indonesia #swede #CANADA #france #bitcoin #binary #Morocco #forex #Saudi #Germany #Netherland #dubia #kuwait #ukra #peru #spain #real #royal #royalties #royalfamily #Westminster #Tudor #history #British #queenelizabeth #monarch #monarchy #crown #kingdom #windsor #queenvictoria #princeharry #princewilliam #kateminddleton #constitution #riverthames #windsorcastle #New #buckinghampalace #mangers #Texas #new #california #las #vegas 
abstract.thom,👌❤️❤️❤️,2019-12-07T18:01:53.000Z,1 like,
leyva.dania,👏👏👍👍🤩🤗Game candy candy Friends 💖,2019-12-07T18:51:01.000Z,1 like,
filipacastellobranco,Quero ❤️😘,2019-12-07T19:34:25.000Z,,
copeland2019linda,Yep.,2019-12-07T19:51:27.000Z,,
_andy_stein._,Das wäre schön😍,2019-12-08T13:01:35.000Z,,
bella_21_12,Yes,2019-12-08T16:32:20.000Z,,
patriciaoody,Yes please,2019-12-09T02:11:24.000Z,,
coffee.nutt,Yes please🎉🎈🎉🎈❤️,2019-12-09T02:24:26.000Z,1 like,
williamdennisleefestasr,Yes. And I love this game.,2019-12-09T13:53:03.000Z,,
lwhite2009,I want this,2019-12-10T21:43:05.000Z,,
talal312yahoo.com4531,5585,2019-12-17T16:40:17.000Z,,
yusf_sean,👍👍👍👍👍👍👍👍,2019-12-27T06:41:34.000Z,,
madisonkrusee,please check dms @candycrushsaga,2019-12-02T02:56:40.000Z,,
nerminozhancetinkaya,oyunum açılmıyor günlük hediyelerimi alıyorum ama oynamıyorum siyah durumda,2019-12-02T13:39:33.000Z,,
rosamariadandolin,Olá bom dia estou na fase 5870 gostaria de mais fase se for atendida obrigado vem poucas fase por semana 😘😘,2019-12-02T14:06:33.000Z,,
taufiquemohd29,5751* thanks for making this addict game 😍,2019-12-02T17:01:32.000Z,,
hopelisq,where did the lisa and jisoo post go?,2019-12-03T00:37:24.000Z,,
izomberk,WHY DID YOU DELETE THE BLACKPINK'S SIGNS,2019-12-03T11:58:51.000Z,,
yagmurladi,Im 1126 level and i can't make it 😏 Help!,2019-12-04T14:05:27.000Z,,
mizz_terror,@candycrushsaga ok so like heres my problem...i was able to play a level and if i didnt like the candy set up (hard levels) i was able to back out of said level WITH OUT losing a life. Now.....if i back out of said level i’m down a life!!!!! Why you switch it up on me after ALL THESE YEARS!! PUT IT BACK TO HOW IT WAS! Thanks a bunch,2019-12-05T16:11:01.000Z,5 likes,
addiemaeimages,@candycrushsaga I’m done! You have become WAYY to greedy! Now we can’t back out of a game without losing a life.. not to mention the price increases and the STUPID timed boosters! I THINK EVERYONE should quit playing and give you a taste of medicine you need!! Greedy=BAD karma,2019-12-05T21:36:24.000Z,4 likes,
rosinsmoke,Fuck the persons mother right in her ass whoever did this new update on this game today. You dumb cocksucking money hungry assholes. Seriously go fuck your mother right in her shit hole. @candycrushsaga 🖕🏻,2019-12-05T21:47:56.000Z,,
roberttakizi,"I just made my withdrawal today, all thanks to Suzanne gambard, this is my first withdrawal of the month and i can say I've made enough to clear my bills and invest more too. Thanks @fx.Suzanne you are truly a life saver.",2019-12-06T02:32:19.000Z,,
casskuss,Check dm,2019-12-06T10:51:25.000Z,,
haider.n87,💪🏻,2019-11-22T06:50:15.000Z,1 like,
lochelo,"Que verdad que es, relaja un montón. 💋",2019-11-22T14:38:33.000Z,4 likes,
zaibotgarcia,3100,2019-11-22T23:14:07.000Z,1 like,
zohre_poorasad,👏💝,2019-11-23T09:57:43.000Z,1 like,
takurah,@candycrushsaga why is it your levels are hard... sometimes they just stress me out😩😩 its really hard out here,2019-11-24T22:52:58.000Z,,
thieusivinh.ts,5606 :(( hard level,2019-11-25T16:17:08.000Z,,
darinneville2,Some level are just extra fun not hard,2019-11-26T07:45:17.000Z,,
dawwdd_s,اريد دعم,2019-11-26T13:16:29.000Z,,
jxmie93,Haha love that 🔥🔥🔥,2019-11-29T10:50:16.000Z,,
matiascald1974,@candycrushsaga,2019-11-30T12:40:47.000Z,,
thuntata,LV 5133,2019-12-01T15:15:16.000Z,,
suskun___mavi___,1207,2019-12-05T23:33:12.000Z,,
gary_a_d,"Ibdont have the skill, but I have the will! Give us more moves on the harder puzzles?",2019-11-18T13:21:59.000Z,,
gary_a_d,I don't,2019-11-18T13:22:26.000Z,,
_v_express,😍😍😍😍😍,2019-11-18T13:27:42.000Z,1 like,
edyjua_araujo,👏👏😃,2019-11-18T16:14:43.000Z,1 like,
sonu.malik090,Happy crushing,2019-11-18T17:09:24.000Z,1 like,
sonu.malik090,,2019-11-18T17:09:48.000Z,1 like,
husseinplatizy,How many level now @candycrushsaga,2019-11-18T17:26:48.000Z,2 likes,
miroamosss,"Come to visit my page (no 1 levels on iOS iPhone ,waiting for update levels )5780😎",2019-11-19T10:08:01.000Z,,
be_good_du_the_stark,😍😍💖💖💖👏,2019-11-19T18:23:17.000Z,1 like,
klimanov2149,😍,2019-11-21T07:21:28.000Z,1 like,
lochelo,"Yo nada más que juego al Candy Crack y a pintar al óleo cuando tengo tiempo, el muñecos muy original. 💞",2019-11-22T14:36:29.000Z,1 like,
carolinejov19,So cute,2019-12-01T05:56:48.000Z,,
clarkmank,What is happening here ?,2019-11-17T08:50:48.000Z,1 like,
diwan.adnan,Wht are total player's on the last level . I'm too on highest level,2019-11-17T14:02:19.000Z,,
_.itz_your_girl,😍😍😍😍,2019-11-17T18:13:19.000Z,,
1christian_m,,2019-11-17T20:09:07.000Z,,
ivan___mark,#say no rainbow am so mad fuck off rainbow,2019-11-18T06:57:28.000Z,,#say 
9jaconnect,Level 5767,2019-11-18T09:15:46.000Z,2 likes,
lochelo,Un caramelo para mi hermana Santa Barragán Fuentes que no le sale la oveja del lunes por favor.👭💕💫,2019-11-18T11:54:45.000Z,,
gubuksop_soto,I have played this game until level 1876. what will i get ?? 😂😂😂😂,2019-11-18T12:10:20.000Z,,
lithika_hoishali_,follow me back please......,2019-11-18T14:13:52.000Z,1 like,
rosiellycristinna007,Level 1826,2019-11-21T03:11:15.000Z,,
carlarebeque28,Tem receita?,2019-11-25T04:09:38.000Z,,
ppppauk,@steffffilim,2019-12-26T07:35:25.000Z,,
rocioinofuente,Only me... I'm in level 2211 😀,2019-11-14T22:16:31.000Z,,
kristymarsh1,"Level 3966! I would be further along but I had to start over a couple of years ago 🙄
Love crushing candy!!!! 🥰",2019-11-14T22:39:43.000Z,,
qwynzyll,"I CAN SUPER RELATEEEEE, OMAYGOSH",2019-11-14T22:48:47.000Z,1 like,
meeraammal66,👏👏👏👏👏👏,2019-11-14T23:33:59.000Z,1 like,
jasmin_anandita,really love with the upgrade 😘😘,2019-11-15T01:48:14.000Z,1 like,
sharmaersonia,My level 5769 ❤️😍,2019-11-15T02:14:42.000Z,2 likes,
clever_dyke,Meee😩🙋,2019-11-15T02:30:17.000Z,,
lochelo,"Por favor ponerle a mi hermana la oveja que se han quitado se llama Santa Barragán Fuentes, muchísimas gracias. 😘😘😅😅",2019-11-15T17:18:01.000Z,,
marekamazza,🙌,2019-11-15T17:41:56.000Z,,
zohre_poorasad,👏,2019-11-15T17:46:38.000Z,,
adinnisani,Meeeeeee.. My grandma also playing candy crush 😅 she's in level 768,2019-11-23T17:52:53.000Z,,
azitaparsa77,my love 5870❤️❤️❤️,2019-12-03T10:47:46.000Z,,
dorislee2219,,2019-11-11T17:33:07.000Z,,
yung_gabe03,Your game sent me to ER,2019-11-11T18:33:30.000Z,1 like,
angjcela,@candycrushsaga 5000,2019-11-11T19:10:19.000Z,,
elisete.garcia.1,,2019-11-11T19:14:47.000Z,1 like,
zohre_poorasad,💝💝,2019-11-11T21:46:17.000Z,,
jadon_sancho1,Please @candy crush why am I not seeing play video or win moves since 4 days now,2019-11-11T23:51:41.000Z,,
pandamarbun,Until when all level is game over? Level 6000 or over? Now I'm completed level 5735🇲🇨,2019-11-12T05:27:03.000Z,2 likes,
naciyekarakas_atam,Seviye 5201 Candey Crush Saga Mükemmel Muhteşem 🌹🌹🌹🌹🌹👫👭👫👭👫,2019-11-12T07:24:04.000Z,2 likes,
leylaozenc,"Ben oynayamıyorum siyah ekran çıkıyor? (I can't play the game ,it comes the black screen)",2019-11-12T08:51:29.000Z,2 likes,
archit5846,@candycrushsaga ask ur devs that how long will it take to train a machine to play candy crush... A video on it will be good...❤️,2019-11-12T14:14:27.000Z,,
pandamarbun,Wow completed level 5780🇲🇨,2019-11-13T14:22:13.000Z,1 like,
lochelo,"A mi hermana Santa Barragán Fuentes no le sale la oveja de los caramelos negros con puntos, os ruego que se la pongáis porque hacern",2019-11-14T11:21:14.000Z,1 like,
_baitoey333_,👑💟,2019-12-23T11:42:50.000Z,,
_baitoey333_,💟👑,2019-12-23T11:42:50.000Z,,
_baitoey333_,💟👑,2019-12-23T11:42:50.000Z,,
_baitoey333_,💟💟👑,2019-12-23T11:42:50.000Z,,
thinkbeforeclick_25,Lisoo😁😁😍,2019-12-23T12:15:12.000Z,,
thinkbeforeclick_25,😉😊😍🙌😁,2019-12-23T12:15:23.000Z,,
cinanya,🤟🏻💕😍,2019-12-23T12:29:08.000Z,,
cinanya,😍😍😍,2019-12-23T12:29:12.000Z,,
cinanya,,2019-12-23T12:29:21.000Z,,
quarterpl8,@parikh9228,2019-12-24T18:21:47.000Z,,
gacha_vika_49_,Blackpink😍,2019-12-24T23:10:39.000Z,,
yusf_sean,,2019-12-27T06:42:10.000Z,,
fatjonlilaeri,@candycrushsaga wait for new levels....☹️😴😒,2019-11-06T10:33:00.000Z,2 likes,
dorislee2219,😍❤️,2019-11-06T21:58:46.000Z,1 like,
meeraammal66,,2019-11-07T01:11:12.000Z,,
pandamarbun,Wow completed level 5735🇲🇨,2019-11-07T11:55:22.000Z,1 like,
gary_a_d,"You don't give us enough moves to get your puzzles out, unless we buy your ridiculously expensive power ups!",2019-11-07T19:08:18.000Z,2 likes,
bangtansonyedamnnnnnnnn,@candycrushsaga we want @bts.bighitofficial if u actually want to have sell out stuff get them,2019-11-08T02:25:35.000Z,,
behrouzbarak,,2019-11-08T19:43:57.000Z,1 like,
meeraammal66,,2019-11-08T21:57:41.000Z,,
elchinatli,Level 1292 almost killed me,2019-11-08T22:36:41.000Z,,
25_2695,اعجاب,2019-11-25T09:43:19.000Z,,
shawn_minnich,That did help alot for me,2019-12-01T22:31:24.000Z,,
_.nrzfirhh,How many level in candy crush?,2019-12-03T08:14:21.000Z,,
azamnj,4467🍬🍡🍭☄️😋❤️,2019-11-04T15:58:32.000Z,2 likes,
doctorbagawk,I celebrated by playing Candy Crush until 3am,2019-11-04T16:10:22.000Z,2 likes,
inezgouveia_,💝💝💝💝,2019-11-04T19:03:17.000Z,2 likes,
ariellamann13,@tasands 👍🏼,2019-11-04T21:58:36.000Z,1 like,
brahimmoussa4085,Mon meilleur jeu je l'aime plus que tout les jeux au monde,2019-11-04T22:02:52.000Z,,
monica.sm18,Amoooooo! 🍬❤️,2019-11-05T00:32:22.000Z,1 like,
varsharana90yahoo.com7,Happy National Candy Crush Day,2019-11-05T06:52:59.000Z,2 likes,
christine_bekkers,4 november is my birthday! 🙌,2019-11-05T07:12:27.000Z,,
vajoula,,2019-11-05T19:53:48.000Z,,
vajoula,5690❤️❤️❤️,2019-11-05T19:55:12.000Z,,
pandamarbun,🇲🇨5735,2019-11-07T11:56:25.000Z,,
atul_neha_choudhary,Yukky. Ashish g 2nd birthdayare,2019-11-08T11:03:23.000Z,,
roshni_0218,Wait you didn't tag Jisoo ?,2019-11-26T06:11:58.000Z,2 likes,
emilyllxyd,my babies 🥺,2019-11-29T18:32:21.000Z,,
bowlanbowlan,😍😍😍,2019-11-30T05:12:56.000Z,,
its.a.woody,🐩❤️🐤,2019-11-30T13:51:02.000Z,,
xkalibur_lmqg,I love them,2019-11-30T17:32:21.000Z,,
destinally.kpop,Lisoo❤️😢,2019-12-01T17:12:41.000Z,,
shy_cydyucefaydali,LOVE YOU SO MUCH @lalalalisa_m @sooyaaa__,2019-12-21T05:55:24.000Z,,
claudiabenggala,My Queen Jisoo :(,2019-12-23T04:59:41.000Z,,
sdddo_idgf,,2019-12-23T07:28:23.000Z,,
sdddo_idgf,💜💟,2019-12-23T07:28:24.000Z,,
thinkbeforeclick_25,🔥🔥😍,2019-12-23T12:15:49.000Z,,
thinkbeforeclick_25,😍😍😍,2019-12-23T12:15:52.000Z,,
jihannaj_,Tipik tingin👏👏👏 @novirapaninten_,2019-11-03T17:02:43.000Z,,
lifeatking,😍🍭👑✨,2019-11-04T10:09:17.000Z,,
amariejohnson25,🎂🎂🎂🎂🎂🎂,2019-11-04T12:59:29.000Z,,
eko_boyshter,go top up 082253553009,2019-11-04T14:06:34.000Z,,
scoopstweet,Do they still have cakes?,2019-11-04T14:38:03.000Z,,
cocoquill,Omg I need to come@over now,2019-11-04T17:23:06.000Z,,
reynachamoun,Cute candy,2019-11-04T18:33:07.000Z,,
469mulldr,"The cake is really great! I would like a slice, please😁",2019-11-05T03:57:27.000Z,,
3vtazz,@amyoatley,2019-11-08T01:09:22.000Z,1 like,
lithika_hoishali_,wow.....💟💟💟💟❤️❤️❤️❤️,2019-11-25T16:22:06.000Z,,
slmiasma,@e_asadi71 اونجا كامنتاش محدود شده بود نتونستم جواب بدم 😁😈🖕🏻😍😍,2019-12-02T16:46:08.000Z,,
pavan_kumar_solo,@saisravanidasari,2019-12-04T03:29:42.000Z,,
lizcario.official,I'm gonna try to do Rachel 👀,2019-10-31T15:39:11.000Z,,
andraderamira,👏💕,2019-10-31T15:49:19.000Z,1 like,
lisbeth.jonth,👻🎃🎃👻,2019-10-31T15:53:59.000Z,,
doniphane_nbs,Happy Halloween 🎃 i love you @candycrushsaga ❤️😜,2019-10-31T15:57:27.000Z,,
reda_altony,😍❤️😉😘,2019-10-31T21:48:31.000Z,,
iniyan_arasu,😍😍😍❤️👌,2019-11-01T15:32:01.000Z,1 like,
candycrush.iran,"علاقمندان به بازی جذاب و‌ سرگرم کننده کندی کراش میتونن تو این پیج تبادل نظر و اطلاعات کنند و مرحله های خودشون رو با دوستان مقایسه کنند .
@candycrush.iran
@candycrush.iran
@candycrush.iran",2019-11-02T15:40:15.000Z,,
mustafa.adoo,I stuck in 4225,2019-10-26T20:46:49.000Z,1 like,
_dal_mim_,Help me please 😭😭😭,2019-10-27T16:34:28.000Z,1 like,
_dal_mim_,What can I do?,2019-10-27T16:56:54.000Z,,
ash_taylorley,Candy Crushhh much love! ❤️,2019-10-27T22:59:56.000Z,,
lochelo,"Que bien viajando de vacaciones y ya de regreso, te echábamos de menos. 💌",2019-10-28T16:35:35.000Z,,
richardgimo,,2019-10-28T21:31:49.000Z,1 like,
khareen0331,I love u yeti yeti 😚😚,2019-10-30T13:58:57.000Z,2 likes,
pandamarbun,"I'm the winner for while , completed level 5690🇲🇨",2019-10-30T14:23:57.000Z,2 likes,
tinajindal27,Who reached on 5660,2019-10-31T12:56:10.000Z,,
blackpink__odisha,"Come to Rourkela,India with Jisoo and Lisa❤️❤️❤️❤️",2019-11-03T14:05:22.000Z,,
nrshaffina,Plz come to malaysia for the first time😭 i really hope that🔥🙌 @candycrushsaga,2019-11-03T16:49:16.000Z,,
duarr.sarah,where is the shadow?:v,2019-11-28T07:54:24.000Z,,
memiliaviva,🙌😚 manda um para mim,2019-10-23T09:42:59.000Z,,
dasshiv69,just hate bubblegum troll,2019-10-23T12:47:26.000Z,,
pandamarbun,For while I'm the winner completed level 5645🇲🇨,2019-10-23T14:04:48.000Z,,
leaddrone78,"I now can delete candy crush. I have over 1,000 videos of candy crush cheating. I have on video, over a dozen times where i actually caught them giving me less moves than everyone else. I publicly accused them, they fixed it, but would NEVER respond any emails about it. I have proof they refused to respond to even 1 of my over 700 valid emails. Im coming for you now. I have all i need.",2019-10-23T16:01:53.000Z,,
